001  00299 |Loss: 1.751 | Acc: 37.348%
001  00300 |Loss: 1.750 | Acc: 37.401%
001  00301 |Loss: 1.748 | Acc: 37.440%
001  00302 |Loss: 1.749 | Acc: 37.438%
001  00303 |Loss: 1.750 | Acc: 37.402%
001  00304 |Loss: 1.748 | Acc: 37.449%
001  00305 |Loss: 1.747 | Acc: 37.487%
001  00306 |Loss: 1.746 | Acc: 37.528%
001  00307 |Loss: 1.744 | Acc: 37.587%
001  00308 |Loss: 1.742 | Acc: 37.652%
001  00309 |Loss: 1.740 | Acc: 37.707%
001  00310 |Loss: 1.738 | Acc: 37.767%
001  00311 |Loss: 1.737 | Acc: 37.834%
001  00312 |Loss: 1.738 | Acc: 37.770%
001  00313 |Loss: 1.738 | Acc: 37.755%
001  00314 |Loss: 1.737 | Acc: 37.813%
001  00315 |Loss: 1.736 | Acc: 37.857%
001  00316 |Loss: 1.735 | Acc: 37.896%
001  00317 |Loss: 1.736 | Acc: 37.850%
001  00318 |Loss: 1.735 | Acc: 37.891%
001  00319 |Loss: 1.733 | Acc: 37.975%
001  00320 |Loss: 1.732 | Acc: 38.020%
001  00321 |Loss: 1.730 | Acc: 38.067%
001  00322 |Loss: 1.731 | Acc: 38.073%
001  00323 |Loss: 1.730 | Acc: 38.117%
001  00324 |Loss: 1.728 | Acc: 38.168%
001  00325 |Loss: 1.726 | Acc: 38.236%
001  00326 |Loss: 1.727 | Acc: 38.236%
001  00327 |Loss: 1.725 | Acc: 38.300%
001  00328 |Loss: 1.724 | Acc: 38.327%
001  00329 |Loss: 1.725 | Acc: 38.272%
001  00330 |Loss: 1.726 | Acc: 38.222%
001  00331 |Loss: 1.727 | Acc: 38.203%
001  00332 |Loss: 1.727 | Acc: 38.258%
001  00333 |Loss: 1.725 | Acc: 38.312%
001  00334 |Loss: 1.724 | Acc: 38.363%
001  00335 |Loss: 1.722 | Acc: 38.428%
001  00336 |Loss: 1.720 | Acc: 38.493%
001  00337 |Loss: 1.720 | Acc: 38.534%
001  00338 |Loss: 1.718 | Acc: 38.600%
001  00339 |Loss: 1.717 | Acc: 38.645%
001  00340 |Loss: 1.717 | Acc: 38.674%
001  00341 |Loss: 1.717 | Acc: 38.723%
001  00342 |Loss: 1.715 | Acc: 38.768%
001  00343 |Loss: 1.716 | Acc: 38.771%
001  00344 |Loss: 1.716 | Acc: 38.706%
001  00345 |Loss: 1.715 | Acc: 38.755%
001  00346 |Loss: 1.715 | Acc: 38.778%
001  00347 |Loss: 1.714 | Acc: 38.817%
001  00348 |Loss: 1.714 | Acc: 38.822%
001  00349 |Loss: 1.714 | Acc: 38.877%
001  00350 |Loss: 1.712 | Acc: 38.933%
001  00351 |Loss: 1.713 | Acc: 38.925%
001  00352 |Loss: 1.713 | Acc: 38.958%
001  00353 |Loss: 1.711 | Acc: 39.014%
001  00354 |Loss: 1.712 | Acc: 39.027%
001  00355 |Loss: 1.713 | Acc: 38.992%
001  00356 |Loss: 1.714 | Acc: 38.924%
001  00357 |Loss: 1.712 | Acc: 38.986%
001  00358 |Loss: 1.712 | Acc: 38.910%
001  00359 |Loss: 1.711 | Acc: 38.973%
001  00360 |Loss: 1.712 | Acc: 38.934%
001  00361 |Loss: 1.712 | Acc: 38.976%
001  00362 |Loss: 1.710 | Acc: 39.037%
001  00363 |Loss: 1.711 | Acc: 39.007%
001  00364 |Loss: 1.712 | Acc: 38.983%
001  00365 |Loss: 1.711 | Acc: 39.028%
001  00366 |Loss: 1.711 | Acc: 39.056%
001  00367 |Loss: 1.710 | Acc: 39.109%
001  00368 |Loss: 1.710 | Acc: 39.082%
001  00369 |Loss: 1.711 | Acc: 39.084%
001  00370 |Loss: 1.709 | Acc: 39.143%
001  00371 |Loss: 1.708 | Acc: 39.195%
001  00372 |Loss: 1.707 | Acc: 39.243%
001  00373 |Loss: 1.705 | Acc: 39.295%
001  00374 |Loss: 1.704 | Acc: 39.342%
001  00375 |Loss: 1.705 | Acc: 39.265%
001  00376 |Loss: 1.703 | Acc: 39.333%
001  00377 |Loss: 1.704 | Acc: 39.290%
001  00378 |Loss: 1.703 | Acc: 39.335%
001  00379 |Loss: 1.704 | Acc: 39.275%
001  00380 |Loss: 1.702 | Acc: 39.319%
001  00381 |Loss: 1.703 | Acc: 39.294%
001  00382 |Loss: 1.703 | Acc: 39.330%
001  00383 |Loss: 1.701 | Acc: 39.397%
001  00384 |Loss: 1.702 | Acc: 39.329%
001  00385 |Loss: 1.700 | Acc: 39.414%
001  00386 |Loss: 1.700 | Acc: 39.409%
001  00387 |Loss: 1.699 | Acc: 39.458%
001  00388 |Loss: 1.699 | Acc: 39.455%
001  00389 |Loss: 1.700 | Acc: 39.398%
001  00390 |Loss: 1.699 | Acc: 39.447%
001  00391 |Loss: 1.698 | Acc: 39.476%
002  00392 |Loss: 1.105 | Acc: 60.156%
002  00393 |Loss: 1.355 | Acc: 55.078%
002  00394 |Loss: 1.331 | Acc: 55.208%
002  00395 |Loss: 1.255 | Acc: 57.227%
002  00396 |Loss: 1.255 | Acc: 58.438%
002  00397 |Loss: 1.341 | Acc: 56.771%
002  00398 |Loss: 1.305 | Acc: 57.254%
002  00399 |Loss: 1.294 | Acc: 58.398%
002  00400 |Loss: 1.291 | Acc: 58.767%
002  00401 |Loss: 1.304 | Acc: 58.203%
002  00402 |Loss: 1.297 | Acc: 57.955%
002  00403 |Loss: 1.278 | Acc: 58.268%
002  00404 |Loss: 1.268 | Acc: 58.534%
002  00405 |Loss: 1.253 | Acc: 58.594%
002  00406 |Loss: 1.299 | Acc: 57.448%
002  00407 |Loss: 1.283 | Acc: 57.812%
002  00408 |Loss: 1.323 | Acc: 56.572%
002  00409 |Loss: 1.338 | Acc: 56.467%
002  00410 |Loss: 1.326 | Acc: 56.826%
002  00411 |Loss: 1.337 | Acc: 56.758%
002  00412 |Loss: 1.334 | Acc: 56.696%
002  00413 |Loss: 1.320 | Acc: 57.067%
002  00414 |Loss: 1.315 | Acc: 57.167%
002  00415 |Loss: 1.303 | Acc: 57.422%
002  00416 |Loss: 1.292 | Acc: 57.531%
002  00417 |Loss: 1.301 | Acc: 57.602%
002  00418 |Loss: 1.298 | Acc: 57.697%
002  00419 |Loss: 1.291 | Acc: 57.840%
002  00420 |Loss: 1.284 | Acc: 57.947%
002  00421 |Loss: 1.305 | Acc: 57.474%
002  00422 |Loss: 1.298 | Acc: 57.535%
002  00423 |Loss: 1.296 | Acc: 57.471%
002  00424 |Loss: 1.316 | Acc: 55.895%
002  00425 |Loss: 1.313 | Acc: 55.859%
002  00426 |Loss: 1.333 | Acc: 55.424%
002  00427 |Loss: 1.331 | Acc: 55.469%
002  00428 |Loss: 1.344 | Acc: 54.413%
002  00429 |Loss: 1.358 | Acc: 54.132%
002  00430 |Loss: 1.370 | Acc: 53.806%
002  00431 |Loss: 1.360 | Acc: 54.121%
002  00432 |Loss: 1.377 | Acc: 53.201%
002  00433 |Loss: 1.384 | Acc: 53.144%
002  00434 |Loss: 1.383 | Acc: 53.161%
002  00435 |Loss: 1.397 | Acc: 52.504%
002  00436 |Loss: 1.388 | Acc: 52.865%
002  00437 |Loss: 1.382 | Acc: 53.091%
002  00438 |Loss: 1.392 | Acc: 52.443%
002  00439 |Loss: 1.400 | Acc: 52.344%
002  00440 |Loss: 1.394 | Acc: 52.408%
002  00441 |Loss: 1.392 | Acc: 52.625%
002  00442 |Loss: 1.390 | Acc: 52.635%
002  00443 |Loss: 1.383 | Acc: 52.900%
002  00444 |Loss: 1.379 | Acc: 53.007%
002  00445 |Loss: 1.374 | Acc: 53.154%
002  00446 |Loss: 1.368 | Acc: 53.310%
002  00447 |Loss: 1.361 | Acc: 53.557%
002  00448 |Loss: 1.358 | Acc: 53.632%
002  00449 |Loss: 1.355 | Acc: 53.650%
002  00450 |Loss: 1.349 | Acc: 53.919%
002  00451 |Loss: 1.352 | Acc: 53.919%
002  00452 |Loss: 1.349 | Acc: 54.009%
002  00453 |Loss: 1.357 | Acc: 53.906%
002  00454 |Loss: 1.370 | Acc: 53.571%
002  00455 |Loss: 1.374 | Acc: 53.638%
002  00456 |Loss: 1.369 | Acc: 53.750%
002  00457 |Loss: 1.381 | Acc: 53.291%
002  00458 |Loss: 1.376 | Acc: 53.498%
002  00459 |Loss: 1.373 | Acc: 53.504%
002  00460 |Loss: 1.380 | Acc: 53.306%
002  00461 |Loss: 1.376 | Acc: 53.415%
002  00462 |Loss: 1.370 | Acc: 53.653%
002  00463 |Loss: 1.365 | Acc: 53.798%
002  00464 |Loss: 1.362 | Acc: 53.906%
002  00465 |Loss: 1.363 | Acc: 53.917%
002  00466 |Loss: 1.358 | Acc: 54.042%
002  00467 |Loss: 1.367 | Acc: 53.896%
002  00468 |Loss: 1.367 | Acc: 53.957%
002  00469 |Loss: 1.365 | Acc: 54.046%
002  00470 |Loss: 1.370 | Acc: 54.005%
002  00471 |Loss: 1.367 | Acc: 54.092%
002  00472 |Loss: 1.373 | Acc: 53.974%
002  00473 |Loss: 1.380 | Acc: 53.763%
002  00474 |Loss: 1.377 | Acc: 53.869%
002  00475 |Loss: 1.385 | Acc: 53.544%
002  00476 |Loss: 1.383 | Acc: 53.713%
002  00477 |Loss: 1.389 | Acc: 53.588%
002  00478 |Loss: 1.395 | Acc: 53.367%
002  00479 |Loss: 1.392 | Acc: 53.471%
002  00480 |Loss: 1.387 | Acc: 53.643%
002  00481 |Loss: 1.392 | Acc: 53.568%
002  00482 |Loss: 1.400 | Acc: 53.297%
002  00483 |Loss: 1.405 | Acc: 52.845%
002  00484 |Loss: 1.402 | Acc: 52.898%
002  00485 |Loss: 1.408 | Acc: 52.618%
002  00486 |Loss: 1.411 | Acc: 52.599%
002  00487 |Loss: 1.414 | Acc: 52.629%
002  00488 |Loss: 1.416 | Acc: 52.610%
002  00489 |Loss: 1.416 | Acc: 52.647%
002  00490 |Loss: 1.420 | Acc: 52.494%
002  00491 |Loss: 1.424 | Acc: 52.266%
002  00492 |Loss: 1.422 | Acc: 52.382%
002  00493 |Loss: 1.424 | Acc: 52.367%
002  00494 |Loss: 1.420 | Acc: 52.503%
002  00495 |Loss: 1.416 | Acc: 52.682%
002  00496 |Loss: 1.419 | Acc: 52.589%
002  00497 |Loss: 1.421 | Acc: 52.557%
002  00498 |Loss: 1.426 | Acc: 52.461%
002  00499 |Loss: 1.426 | Acc: 52.488%
002  00500 |Loss: 1.424 | Acc: 52.602%
002  00501 |Loss: 1.420 | Acc: 52.756%
002  00502 |Loss: 1.423 | Acc: 52.421%
002  00503 |Loss: 1.428 | Acc: 52.295%
002  00504 |Loss: 1.426 | Acc: 52.295%
002  00505 |Loss: 1.428 | Acc: 52.275%
002  00506 |Loss: 1.425 | Acc: 52.385%
002  00507 |Loss: 1.423 | Acc: 52.398%
002  00508 |Loss: 1.419 | Acc: 52.537%
002  00509 |Loss: 1.416 | Acc: 52.615%
002  00510 |Loss: 1.413 | Acc: 52.679%
002  00511 |Loss: 1.414 | Acc: 52.702%
002  00512 |Loss: 1.411 | Acc: 52.770%
002  00513 |Loss: 1.410 | Acc: 52.792%
002  00514 |Loss: 1.406 | Acc: 52.915%
002  00515 |Loss: 1.405 | Acc: 52.999%
002  00516 |Loss: 1.402 | Acc: 53.100%
002  00517 |Loss: 1.399 | Acc: 53.144%
002  00518 |Loss: 1.396 | Acc: 53.223%
002  00519 |Loss: 1.394 | Acc: 53.333%
002  00520 |Loss: 1.397 | Acc: 53.301%
002  00521 |Loss: 1.396 | Acc: 53.293%
002  00522 |Loss: 1.401 | Acc: 52.988%
002  00523 |Loss: 1.399 | Acc: 53.095%
002  00524 |Loss: 1.397 | Acc: 53.172%
002  00525 |Loss: 1.394 | Acc: 53.253%
002  00526 |Loss: 1.393 | Acc: 53.252%
002  00527 |Loss: 1.390 | Acc: 53.389%
002  00528 |Loss: 1.395 | Acc: 53.176%
002  00529 |Loss: 1.400 | Acc: 52.916%
002  00530 |Loss: 1.399 | Acc: 52.973%
002  00531 |Loss: 1.402 | Acc: 52.919%
002  00532 |Loss: 1.401 | Acc: 52.959%
002  00533 |Loss: 1.404 | Acc: 52.806%
002  00534 |Loss: 1.402 | Acc: 52.896%
002  00535 |Loss: 1.406 | Acc: 52.832%
002  00536 |Loss: 1.403 | Acc: 52.920%
002  00537 |Loss: 1.402 | Acc: 52.932%
002  00538 |Loss: 1.399 | Acc: 52.992%
